ue_ip fteid tun_ip_gw tun_ip_enb
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.16.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 5046275 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
